恵我ノ荘	1	1	0
近鉄宮津	2	1	1
伊勢中川	1	2	1
京都	2	2	19
大和八木	1	24	19
松尾	2	24	20
宇治山田	1	37	20
賢島	2	37	30
大阪阿部野橋	1	47	30
近鉄名古屋	2	47	31
橿原神宮前	1	50	31
鳥羽	2	50	36
吉野	1	65	36
近鉄御所	2	65	37
新王寺	1	66	37
王寺	2	66	38
西田原本	1	73	38
学研奈良登美ヶ丘	2	73	39
柏原	1	74	39
湯の山温泉	2	74	40
信貴山口	1	75	40
河内長野	2	75	41
天理	1	76	41
長田	2	76	42
内部	1	77	42
大阪難波	2	77	43
西日野	1	78	43
平田町	2	78	44
大阪上本町	1	79	44
近鉄奈良	2	79	45
河内山本	1	96	45
近鉄四日市	2	96	73
伊勢若松	1	111	73
生駒	2	111	89
布施	1	119	89
大和西大寺	2	119	101
石切	1	129	101
古市	2	129	108
平端	1	138	108
尺土	2	138	117
道明寺	1	155	109
箕田	2	155	116
赤堀	1	161	116
筒井	2	161	121
池の浦	1	164	121
鈴鹿市	2	164	123
柳	1	165	123
近鉄日本橋	2	165	124
