1	0	0	0
1	0	0	1
5	0	0	1
5	0	0	2
5	0	0	2
7	0	0	1
7	0	0	10
7	0	0	11
33	0	0	11
29	0	0	18
29	0	0	18
31	0	0	18
45	0	0	11
45	0	0	12
46	0	0	12
46	0	0	13
60	0	0	13
60	0	0	14
70	0	0	14
70	0	0	33
71	0	0	33
71	0	0	34
72	0	0	34
71	0	0	65
72	0	0	65
72	0	0	74
125	0	0	42
125	0	0	50
137	0	0	42
137	0	0	43
138	0	0	43
137	0	0	108
147	0	0	108
147	0	0	109
153	0	0	108
153	0	0	111
154	0	0	111
153	0	0	122
165	0	0	122
154	0	0	147
169	0	0	138
169	0	0	139
174	0	0	139
174	0	0	140
206	0	0	139
206	0	0	146
244	0	0	126
244	0	0	134
246	0	0	134
246	0	0	137
251	0	0	137
251	0	0	138
