五位堂	1	1	0
伊勢中川	2	1	1
大和八木	1	6	1
橿原神宮前	2	6	2
川合高岡	1	27	2
大阪上本町	2	27	3
久津川	1	28	3
近鉄名古屋	2	28	4
東寺	1	39	4
大阪阿部野橋	2	39	5
大和西大寺	1	52	5
京都	2	52	6
高安	1	62	6
鳥羽	2	62	7
生駒	1	67	7
近鉄奈良	2	67	8
平端	1	79	8
宇治山田	2	79	24
勢野北口	1	88	24
吉野	2	88	39
布施	1	99	39
賢島	2	99	54
浮孔	1	100	54
王寺	2	100	55
河内山本	1	106	55
湯の山温泉	2	106	56
大輪田	1	107	56
内部	2	107	57
但馬	1	111	57
学研奈良登美ヶ丘	2	111	58
大羽根園	1	112	58
西田原本	2	112	59
富田林西口	1	113	59
長田	2	112	66
近鉄四日市	1	120	66
新王寺	2	115	73
富吉	1	127	73
河内長野	2	127	74
近鉄蟹江	1	128	74
平田町	2	128	75
黄金	1	133	75
天理	2	133	76
楠	1	138	76
近鉄御所	2	138	77
柏原	1	139	77
大阪難波	2	139	79
道明寺	1	141	79
信貴山口	2	141	80
二階堂	1	142	80
西日野	2	142	81
箕田	1	144	81
布忍	2	144	88
近鉄新庄	1	145	88
恵我ノ荘	2	145	91
鶴橋	1	147	91
高田本山	2	147	98
豊津上野	1	148	98
二上神社口	2	148	99
汐ノ宮	1	151	99
伊勢若松	2	124	137
新大宮	1	125	137
泊	2	125	143
古市	1	128	143
高鷲	2	126	151
信貴山下	1	127	151
畝傍御陵前	2	127	152
前栽	1	128	152
坊城	2	128	154
尺土	1	130	154
服部川	2	130	155
当麻寺	1	132	155
忍海	2	132	156
八木西口	1	133	156
