伊勢中川	1	1	0
橿原神宮前	2	1	1
豊津上野	1	10	1
大阪上本町	2	10	2
耳成	1	31	2
近鉄名古屋	2	31	3
戸田	1	32	3
大阪阿部野橋	2	32	4
阿倉川	1	44	4
京都	2	44	5
高の原	1	45	5
鳥羽	2	45	6
十条	1	66	6
近鉄奈良	2	66	7
宇治山田	1	79	7
吉野	2	79	22
瓢箪山	1	80	22
賢島	2	80	37
布施	1	87	37
王寺	2	87	38
矢田	1	88	38
湯の山温泉	2	88	39
池の浦	1	91	39
西田原本	2	91	40
黄金	1	95	40
長田	2	95	41
土師ノ里	1	103	41
河内長野	2	103	42
伊勢若松	1	109	42
新王寺	2	109	49
近鉄四日市	1	118	49
学研奈良登美ヶ丘	2	118	50
桜	1	123	50
内部	2	123	51
泊	1	127	51
平田町	2	127	52
生駒	1	131	52
天理	2	131	53
勢野北口	1	140	53
近鉄御所	2	140	54
松塚	1	141	54
柏原	2	141	55
河内山本	1	160	55
信貴山口	2	160	56
大和西大寺	1	166	56
大阪難波	2	166	58
平端	1	172	58
西日野	2	172	59
大和八木	1	180	59
大羽根園	2	180	60
三日市	1	183	60
二上神社口	2	183	61
荒本	1	186	61
富田林	2	186	66
河堀口	1	190	66
新大宮	2	190	67
前栽	1	192	67
古市	2	192	72
道明寺	1	193	72
近鉄新庄	2	193	74
小古曽	1	195	74
磐城	2	195	76
学研北生駒	1	197	76
服部川	2	197	77
今里	1	198	77
鶴橋	2	198	78
橿原神宮西口	1	199	78
中菰野	2	199	79
尺土	1	210	72
米野	2	210	73
畝傍御陵前	1	212	73
東寺	2	212	74
信貴山下	1	213	74
菰野	2	213	75
柏原南口	1	214	75
