伊賀上津	1	1	0
伊勢中川	2	1	1
大和八木	1	16	1
橿原神宮前	2	16	2
矢田	1	17	2
大阪上本町	2	17	3
十条	1	18	3
近鉄名古屋	2	18	4
河内山本	1	34	4
大阪阿部野橋	2	34	5
大和西大寺	1	57	5
京都	2	57	6
川原町	1	58	6
鳥羽	2	58	7
黄金	1	75	7
近鉄奈良	2	75	8
俊徳道	1	80	8
宇治山田	2	80	24
天理	1	81	24
賢島	2	81	39
平端	1	95	39
吉野	2	95	54
道明寺	1	104	54
王寺	2	104	55
生駒	1	109	55
湯の山温泉	2	109	56
河内永和	1	119	56
長田	2	119	57
信貴山下	1	129	57
河内長野	2	129	58
海山道	1	130	58
新王寺	2	130	59
川合高岡	1	136	59
西田原本	2	136	66
伊勢若松	1	142	66
学研奈良登美ヶ丘	2	141	73
津新町	1	152	73
内部	2	152	74
伊勢川島	1	153	74
平田町	2	153	75
今里	1	154	75
近鉄御所	2	154	76
三日市	1	157	76
大阪難波	2	157	78
尺土	1	158	78
柏原	2	158	79
上ノ太子	1	163	79
信貴山口	2	163	80
追分	1	164	80
西日野	2	164	81
中川原	1	166	81
針中野	2	166	85
東寺	1	167	85
近鉄新庄	2	167	87
高角	1	168	87
富田林西口	2	168	91
喜志	1	169	91
日永	2	168	96
富田林	1	169	96
新大宮	2	164	102
久居	1	166	102
浮孔	2	166	105
八木西口	1	167	105
米野	2	167	106
新正	1	168	106
中菰野	2	168	108
布施	1	169	108
駒ヶ谷	2	163	116
鶴橋	1	164	116
桃園	2	164	117
近鉄四日市	1	165	117
赤堀	2	165	118
畝傍御陵前	1	166	118
古市	2	154	131
菰野	1	156	131
服部川	2	156	132
柏原南口	1	157	132
