明星	1	1	0
伊勢中川	2	1	1
山田川	1	2	1
橿原神宮前	2	2	2
近鉄八田	1	3	2
大阪上本町	2	3	3
近鉄長島	1	10	3
近鉄名古屋	2	10	4
近鉄四日市	1	19	4
大阪阿部野橋	2	19	5
箕田	1	26	5
京都	2	26	6
上鳥羽口	1	45	6
鳥羽	2	45	7
湯の山温泉	1	54	7
近鉄奈良	2	54	8
耳成	1	55	8
宇治山田	2	54	24
伊勢石橋	1	73	24
吉野	2	73	39
王寺	1	74	39
賢島	2	74	54
笠縫	1	75	54
内部	2	75	55
生駒	1	86	55
学研奈良登美ヶ丘	2	86	56
小古曽	1	92	56
西田原本	2	92	57
河内永和	1	102	57
長田	2	101	64
河内山本	1	102	64
新王寺	2	102	71
真菅	1	117	71
河内長野	2	117	72
大和西大寺	1	125	71
平田町	2	125	72
俊徳道	1	130	72
天理	2	130	73
桃園	1	131	73
近鉄御所	2	131	74
白子	1	143	74
信貴山口	2	143	75
高鷲	1	144	75
大阪難波	2	144	77
平端	1	154	77
柏原	2	154	78
米野	1	157	78
西日野	2	157	79
北田辺	1	166	79
千代崎	2	153	93
汐ノ宮	1	154	93
忍海	2	154	94
駒ヶ谷	1	155	94
二上神社口	2	155	95
二階堂	1	156	95
当麻寺	2	156	96
藤井寺	1	157	96
橿原神宮西口	2	157	97
尺土	1	163	95
布施	2	147	115
前栽	1	148	115
浮孔	2	148	117
東寺	1	150	117
川西	2	149	120
河堀口	1	150	120
八木西口	2	150	122
大和八木	1	152	122
柳	2	152	125
川合高岡	1	153	125
近鉄新庄	2	153	126
伊勢若松	1	154	126
服部川	2	154	127
土師ノ里	1	155	127
柏原南口	2	155	128
富田林	1	156	128
道明寺	2	143	142
古市	1	145	142
高田市	2	137	151
富田林西口	1	138	151
