桜井	1	1	0
伊勢中川	2	1	1
伊勢石橋	1	18	1
橿原神宮前	2	18	2
川原町	1	19	2
大阪上本町	2	19	3
東寺	1	20	3
近鉄名古屋	2	20	4
近鉄蟹江	1	32	4
大阪阿部野橋	2	32	5
高の原	1	54	5
京都	2	54	6
堅下	1	55	6
鳥羽	2	55	7
大和八木	1	69	7
近鉄奈良	2	69	8
古市	1	70	8
宇治山田	2	70	24
磐城	1	76	24
賢島	2	76	39
桃園	1	77	39
吉野	2	77	54
千代崎	1	90	54
王寺	2	90	55
河内長野	1	97	55
湯の山温泉	2	97	56
平端	1	104	56
西田原本	2	104	57
大和西大寺	1	111	57
新王寺	2	111	64
富雄	1	114	64
内部	2	114	65
米野	1	120	65
学研奈良登美ヶ丘	2	120	66
畝傍御陵前	1	122	66
長田	2	122	67
新正	1	123	67
平田町	2	123	68
伊勢若松	1	130	68
天理	2	130	69
近鉄四日市	1	131	69
近鉄御所	2	131	70
河内天美	1	132	70
信貴山口	2	132	71
東花園	1	133	71
大阪難波	2	133	73
大羽根園	1	141	73
柏原	2	141	74
藤井寺	1	147	74
西日野	2	147	75
河堀口	1	152	75
白庭台	2	152	77
布施	1	157	77
日永	2	157	82
高安	1	160	82
河内花園	2	160	83
萩の台	1	161	83
南生駒	2	160	91
久宝寺口	1	164	91
河内山本	2	123	138
三日市	1	126	138
土師ノ里	2	114	151
生駒	1	121	150
赤堀	2	121	151
新大宮	1	122	151
柏原南口	2	122	152
荒本	1	125	152
浮孔	2	125	155
一分	1	127	155
道明寺	2	127	156
尺土	1	128	156
前栽	2	128	157
高田市	1	129	157
二階堂	2	129	158
忍海	1	131	158
