伊勢中川	1	1	0
橿原神宮前	2	1	1
大和八木	1	23	1
大阪上本町	2	23	2
高安	1	38	2
近鉄名古屋	2	38	3
矢田	1	39	3
大阪阿部野橋	2	39	4
東生駒	1	40	4
京都	2	40	5
宇治山田	1	53	5
鳥羽	2	53	6
三日市	1	54	6
近鉄奈良	2	54	7
伊勢若松	1	71	7
吉野	2	71	22
八木西口	1	72	22
賢島	2	72	37
近鉄四日市	1	80	37
王寺	2	80	38
米野	1	99	38
湯の山温泉	2	99	39
藤井寺	1	106	39
長田	2	106	40
中菰野	1	113	40
河内長野	2	113	41
伏見	1	114	41
内部	2	114	42
大和西大寺	1	137	42
学研奈良登美ヶ丘	2	137	43
平端	1	149	43
新王寺	2	149	44
東寺	1	153	44
西田原本	2	153	51
小古曽	1	159	51
平田町	2	159	52
河堀口	1	163	52
天理	2	163	53
近鉄御所	1	164	53
柏原	2	164	54
八戸ノ里	1	165	54
信貴山口	2	165	55
生駒	1	173	55
大阪難波	2	173	57
信貴山下	1	183	57
西日野	2	183	58
古市	1	184	58
池の浦	2	184	59
汐ノ宮	1	190	59
久宝寺口	2	190	60
磐城	1	196	60
忍海	2	196	61
布施	1	199	61
前栽	2	199	62
河内山本	1	205	61
朝熊	2	205	62
五十鈴川	1	206	62
新大宮	2	206	63
土師ノ里	1	207	63
近鉄新庄	2	207	64
浮孔	1	208	64
新石切	2	207	70
大羽根園	1	208	70
服部川	2	208	71
高田市	1	209	71
鶴橋	2	209	72
橿原神宮西口	1	211	72
道明寺	2	198	87
尺土	1	201	85
畝傍御陵前	2	201	86
二階堂	1	202	86
今里	2	202	87
