大和高田	1	1	0
伊勢中川	2	1	1
上鳥羽口	1	2	1
橿原神宮前	2	2	2
平城	1	23	2
大阪上本町	2	23	3
恩智	1	34	3
近鉄名古屋	2	34	4
川合高岡	1	35	4
大阪阿部野橋	2	35	5
大和八木	1	58	5
京都	2	58	6
益生	1	59	6
鳥羽	2	59	7
黄金	1	70	7
近鉄奈良	2	70	8
南が丘	1	71	8
宇治山田	2	71	24
伊勢若松	1	83	24
賢島	2	83	39
近鉄四日市	1	97	39
吉野	2	97	54
平端	1	104	54
王寺	2	104	55
湯の山温泉	1	113	55
内部	2	113	56
小古曽	1	119	56
学研奈良登美ヶ丘	2	119	57
河内花園	1	120	57
新王寺	2	120	58
弥刀	1	121	58
西田原本	2	121	65
生駒	1	126	65
河内長野	2	126	66
平群	1	133	66
長田	2	132	73
平田町	1	136	73
近鉄御所	2	136	74
当麻寺	1	137	74
天理	2	137	75
駒ヶ谷	1	141	75
大阪難波	2	141	77
川西	1	142	77
信貴山口	2	142	78
大和西大寺	1	153	77
柏原	2	153	78
布施	1	161	78
西日野	2	161	79
河内天美	1	162	79
矢田	2	162	84
河内山本	1	166	84
勢野北口	2	166	86
恵我ノ荘	1	170	86
富田林	2	169	91
鶴橋	1	171	91
八木西口	2	171	93
十条	1	172	93
近鉄新庄	2	172	95
竜田川	1	173	95
二階堂	2	173	97
米野	1	174	97
高田市	2	174	101
桃園	1	176	101
古市	2	176	103
尺土	1	178	103
土師ノ里	2	173	111
道明寺	1	175	110
柏原南口	2	175	111
服部川	1	176	111
新大宮	2	176	112
東寺	1	177	112
