大阿太	1	1	0
伊勢中川	2	1	1
岡寺	1	9	1
橿原神宮前	2	9	2
京都	1	10	2
大阪上本町	2	10	3
大和西大寺	1	35	3
近鉄名古屋	2	35	4
黄金	1	36	4
大阪阿部野橋	2	36	5
川原町	1	53	5
鳥羽	2	53	6
築山	1	54	6
宇治山田	2	54	22
高安	1	65	22
近鉄奈良	2	65	23
生駒	1	70	23
吉野	2	61	38
王寺	1	72	38
賢島	2	72	53
布施	1	83	53
湯の山温泉	2	83	54
大福	1	84	54
学研奈良登美ヶ丘	2	84	55
伊勢石橋	1	102	55
長田	2	101	62
近鉄郡山	1	105	62
内部	2	105	63
近鉄八尾	1	110	63
河内長野	2	110	64
伊勢若松	1	111	64
西田原本	2	111	65
津	1	121	65
新王寺	2	121	72
海山道	1	127	72
平田町	2	127	73
河内天美	1	128	73
近鉄御所	2	128	74
近鉄四日市	1	130	74
天理	2	130	75
南日永	1	133	75
信貴山口	2	133	76
三日市	1	136	76
大阪難波	2	136	78
桃園	1	140	78
柏原	2	140	79
桜	1	145	79
西日野	2	145	80
藤井寺	1	151	80
当麻寺	2	151	81
新大宮	1	152	81
平端	2	152	84
大和八木	1	165	83
尺土	2	165	91
米野	1	166	91
上ノ太子	2	166	94
追分	1	168	94
駒ヶ谷	2	168	95
柏原南口	1	169	95
河内山本	2	127	142
畝傍御陵前	1	130	141
汐ノ宮	2	130	142
古市	1	131	142
矢田	2	131	147
道明寺	1	133	147
大羽根園	2	133	148
滝谷不動	1	138	148
中菰野	2	138	149
小古曽	1	139	149
菰野	2	139	150
