山田川	1	1	0
伊勢中川	2	1	1
十条	1	21	1
橿原神宮前	2	21	2
近鉄名古屋	1	22	2
大阪上本町	2	22	3
近鉄四日市	1	42	3
大阪阿部野橋	2	42	4
湯の山温泉	1	51	4
京都	2	51	5
伊勢若松	1	59	5
鳥羽	2	59	6
枚岡	1	60	6
宇治山田	2	60	22
高の原	1	61	22
近鉄奈良	2	61	23
三日市	1	64	23
吉野	2	64	38
大和八木	1	65	38
賢島	2	65	53
河内山本	1	81	53
王寺	2	81	54
東青山	1	98	54
河内長野	2	98	55
久居	1	111	55
西田原本	2	111	56
小古曽	1	117	56
新王寺	2	117	63
河内小阪	1	123	63
長田	2	123	64
一分	1	124	64
内部	2	124	65
俊徳道	1	129	65
学研奈良登美ヶ丘	2	129	66
信貴山下	1	137	66
平田町	2	137	67
川合高岡	1	141	67
近鉄御所	2	141	68
田原本	1	144	68
天理	2	144	69
畝傍御陵前	1	146	69
大阪難波	2	146	71
駒ヶ谷	1	147	71
柏原	2	147	72
信貴山口	1	149	72
西日野	2	149	73
生駒	1	153	73
東寺	2	153	74
学研北生駒	1	155	74
河堀口	2	155	75
大和西大寺	1	161	75
九条	2	161	76
平端	1	170	75
河内松原	2	170	83
新石切	1	171	83
磐城	2	171	84
荒本	1	173	84
上ノ太子	2	173	88
鶴橋	1	174	88
喜志	2	174	94
布施	1	177	94
浮孔	2	177	97
尺土	1	183	92
古市	2	176	101
前栽	1	178	101
忍海	2	178	103
新大宮	1	179	103
高鷲	2	179	105
藤井寺	1	180	105
土師ノ里	2	179	107
道明寺	1	180	107
桃園	2	180	108
柏原南口	1	181	108
