木津川台	1	1	0
伊勢中川	2	1	1
上鳥羽口	1	19	1
橿原神宮前	2	19	2
大和八木	1	20	2
大阪上本町	2	20	3
平群	1	21	3
近鉄名古屋	2	21	4
川合高岡	1	42	4
大阪阿部野橋	2	42	5
吉野神宮	1	43	5
京都	2	43	6
米野	1	44	6
鳥羽	2	44	7
桑名	1	55	7
宇治山田	2	55	23
市尾	1	65	23
近鉄奈良	2	65	24
恩智	1	79	24
賢島	2	79	39
生駒	1	86	39
吉野	2	75	54
布施	1	86	54
王寺	2	86	55
学園前	1	89	55
湯の山温泉	2	89	56
結崎	1	94	56
河内長野	2	94	57
川原町	1	101	57
西田原本	2	101	58
今川	1	102	58
長田	2	102	59
布忍	1	106	59
新王寺	2	106	66
追分	1	107	66
学研奈良登美ヶ丘	2	106	73
藤井寺	1	111	73
内部	2	111	74
平城	1	114	74
平田町	2	114	75
平端	1	116	75
天理	2	116	76
大和西大寺	1	123	76
近鉄御所	2	123	77
信貴山下	1	126	77
信貴山口	2	126	78
箕田	1	127	78
柏原	2	127	79
赤堀	1	131	79
大阪難波	2	131	81
河内山本	1	138	81
西日野	2	138	82
二階堂	1	139	82
今里	2	95	128
新正	1	101	128
尺土	2	101	135
高田本山	1	102	135
桜	2	102	139
畝傍御陵前	1	105	138
新大宮	2	100	144
伊勢若松	1	108	144
伊勢川島	2	108	146
駒ヶ谷	1	109	146
東寺	2	87	170
津新町	1	90	170
富田林西口	2	90	174
二上山	1	92	174
二上神社口	2	92	177
前栽	1	93	177
河堀口	2	93	178
伊勢松本	1	94	178
鈴鹿市	2	94	180
富田林	1	95	180
土師ノ里	2	85	192
南が丘	1	86	192
中川原	2	85	194
道明寺	1	86	194
桃園	2	86	195
近鉄四日市	1	87	195
柏原南口	2	87	196
久居	1	88	196
古市	2	83	203
服部川	1	84	203
柳	2	84	204
小古曽	1	85	204
