平城	1	1	0
伊勢中川	2	1	1
十条	1	23	1
橿原神宮前	2	23	2
加茂	1	24	2
大阪上本町	2	24	3
賢島	1	35	3
近鉄名古屋	2	35	4
大福	1	36	4
大阪阿部野橋	2	36	5
伊勢石橋	1	54	5
京都	2	54	6
河内山本	1	55	6
鳥羽	2	55	7
松塚	1	69	7
近鉄奈良	2	69	8
近鉄長島	1	70	8
宇治山田	2	70	24
生駒	1	71	24
吉野	2	71	39
信貴山下	1	81	39
王寺	2	81	40
河内永和	1	91	40
湯の山温泉	2	91	41
近鉄四日市	1	100	41
学研奈良登美ヶ丘	2	100	42
黄金	1	109	42
新王寺	2	109	43
中菰野	1	116	43
長田	2	115	50
千代崎	1	116	50
河内長野	2	116	51
伊勢若松	1	124	51
内部	2	124	52
桃園	1	137	52
西田原本	2	137	59
泊	1	141	59
平田町	2	141	60
大和西大寺	1	147	59
近鉄御所	2	147	60
布施	1	153	60
天理	2	153	61
土師ノ里	1	154	61
柏原	2	154	62
河堀口	1	166	62
大阪難波	2	166	64
米野	1	167	64
信貴山口	2	167	65
磐城	1	168	65
西日野	2	168	66
古市	1	174	66
汐ノ宮	2	174	67
九条	1	177	67
尺土	2	177	74
平端	1	180	74
喜志	2	180	79
前栽	1	182	79
新大宮	2	182	80
川合高岡	1	183	80
耳成	2	163	101
道明寺	1	164	101
大和八木	2	143	128
新ノ口	1	149	128
追分	2	149	130
三日市	1	152	130
東寺	2	152	131
中之郷	1	155	131
服部川	2	155	132
柏原南口	1	156	132
大羽根園	2	156	133
