大久保	1	1	0
伊勢中川	2	1	1
米野	1	2	1
橿原神宮前	2	2	2
近鉄四日市	1	21	2
大阪上本町	2	21	3
大和八木	1	22	3
近鉄名古屋	2	22	4
西青山	1	38	4
大阪阿部野橋	2	38	5
河内山本	1	54	5
京都	2	54	6
若江岩田	1	55	6
鳥羽	2	55	7
二階堂	1	56	7
宇治山田	2	56	23
大和西大寺	1	70	23
近鉄奈良	2	70	24
東寺	1	80	24
賢島	2	80	39
河堀口	1	81	39
吉野	2	81	54
生駒	1	92	54
王寺	2	92	55
箕田	1	99	55
湯の山温泉	2	99	56
萩の台	1	103	56
新王寺	2	103	57
大羽根園	1	111	57
長田	2	111	58
川合高岡	1	116	58
河内長野	2	116	59
泊	1	120	59
西田原本	2	120	66
道明寺	1	133	66
内部	2	133	67
高田市	1	134	67
学研奈良登美ヶ丘	2	133	74
平端	1	145	74
平田町	2	145	75
俊徳道	1	150	75
近鉄御所	2	150	76
白塚	1	151	76
天理	2	151	77
千代崎	1	157	77
大阪難波	2	157	79
勢野北口	1	162	79
信貴山口	2	162	80
江戸橋	1	164	80
柏原	2	164	81
河内小阪	1	166	81
西日野	2	166	82
久居	1	170	82
今里	2	170	84
布施	1	172	84
畝傍御陵前	2	172	85
伊勢若松	1	173	85
古市	2	159	106
桃園	1	160	106
二上山	2	160	109
信貴山下	1	161	109
柳	2	161	112
新大宮	1	162	112
尺土	2	161	122
小古曽	1	163	122
八木西口	2	163	123
服部川	1	164	123
前栽	2	164	124
柏原南口	1	165	124
