大和八木	1	1	0
伊勢中川	2	1	1
伊勢石橋	1	21	1
橿原神宮前	2	21	2
堅下	1	33	2
大阪上本町	2	33	3
河内山本	1	37	3
近鉄名古屋	2	37	4
上鳥羽口	1	38	4
大阪阿部野橋	2	38	5
大和西大寺	1	60	5
京都	2	60	6
布施	1	66	6
鳥羽	2	66	7
生駒	1	81	7
宇治山田	2	81	23
霞ヶ浦	1	82	23
近鉄奈良	2	82	24
平端	1	94	24
吉野	2	94	39
近鉄八田	1	107	39
賢島	2	107	54
王寺	1	118	54
湯の山温泉	2	118	55
米野	1	121	55
内部	2	121	56
千代崎	1	122	56
河内長野	2	122	57
豊津上野	1	127	57
西田原本	2	127	58
南が丘	1	133	58
学研奈良登美ヶ丘	2	133	59
天理	1	136	59
新王寺	2	136	66
鶴橋	1	138	66
長田	2	137	73
伊勢若松	1	138	73
平田町	2	138	74
近鉄四日市	1	148	74
近鉄御所	2	148	75
土師ノ里	1	149	75
柏原	2	149	76
東寺	1	151	76
大阪難波	2	151	78
南日永	1	154	78
信貴山口	2	154	79
富田林西口	1	155	79
西日野	2	155	80
河堀口	1	167	80
橿原神宮西口	2	167	81
三日市	1	170	81
古市	2	169	88
久居	1	170	88
川合高岡	2	125	134
桃園	1	126	134
駒ヶ谷	2	126	135
大羽根園	1	134	135
道明寺	2	121	150
小古曽	1	124	150
坊城	2	124	151
新大宮	1	125	151
高田市	2	125	153
畝傍御陵前	1	128	152
二上山	2	128	154
尺土	1	129	154
忍海	2	129	155
二上神社口	1	132	155
近鉄新庄	2	132	156
服部川	1	133	156
