北田辺	1	1	0
伊勢中川	2	1	1
藤井寺	1	11	1
橿原神宮前	2	11	2
近鉄名古屋	1	12	2
大阪上本町	2	12	3
八戸ノ里	1	13	3
大阪阿部野橋	2	13	4
霞ヶ浦	1	30	4
京都	2	30	5
小古曽	1	31	5
鳥羽	2	31	6
二階堂	1	32	6
宇治山田	2	32	22
大三	1	33	22
近鉄奈良	2	33	23
大和八木	1	52	23
吉野	2	52	38
河内山本	1	68	38
賢島	2	68	53
生駒	1	76	53
王寺	2	76	54
高の原	1	77	54
湯の山温泉	2	77	55
上鳥羽口	1	97	55
学研奈良登美ヶ丘	2	97	56
竜田川	1	105	56
河内長野	2	105	57
塩浜	1	106	57
新王寺	2	106	58
布施	1	114	58
西田原本	2	114	65
大和西大寺	1	120	65
長田	2	119	72
九条	1	122	72
内部	2	122	73
近鉄四日市	1	132	73
平田町	2	132	74
大羽根園	1	140	74
近鉄御所	2	140	75
上ノ太子	1	141	75
天理	2	141	76
信貴山下	1	143	76
柏原	2	143	77
ファミリー公園前	1	149	77
信貴山口	2	149	78
南が丘	1	150	78
大阪難波	2	150	80
伊勢若松	1	166	80
西日野	2	166	81
忍海	1	167	81
富田林	2	167	86
新大宮	1	168	86
喜志	2	168	87
古市	1	170	87
八木西口	2	170	89
前栽	1	171	89
伊勢石橋	2	129	135
当麻寺	1	132	135
鈴鹿市	2	132	137
柳	1	133	137
道明寺	2	122	152
平端	1	125	152
近鉄新庄	2	124	154
久居	1	125	154
尺土	2	119	166
東寺	1	121	166
桃園	2	121	167
服部川	1	122	167
