京都	1	1	0
大和八木	2	1	1
大和西大寺	1	26	1
伊勢中川	2	26	23
近鉄四日市	1	27	23
河内山本	2	27	39
近鉄名古屋	1	47	39
伊勢若松	2	47	54
中菰野	1	54	54
宇治山田	2	54	67
生駒	1	59	67
新正	2	59	74
王寺	1	70	74
布施	2	70	80
河内永和	1	80	80
近鉄奈良	2	64	98
内部	1	71	98
平端	2	71	110
吉野	1	72	110
鳥羽	2	72	114
橿原神宮前	1	87	114
志摩神明	2	87	128
尺土	1	92	128
長田	2	92	132
古市	1	99	132
河堀口	2	99	133
河内長野	1	106	133
土師ノ里	2	106	145
近鉄御所	1	109	145
三日市	2	109	148
新王寺	1	110	148
天理	2	110	151
西田原本	1	117	151
大阪上本町	2	117	154
大阪阿部野橋	1	118	154
道明寺	2	118	155
湯の山温泉	1	120	155
学研奈良登美ヶ丘	2	120	158
八木西口	1	122	158
柏原	2	122	160
大阪難波	1	123	160
信貴山口	2	123	162
平田町	1	124	162
賢島	2	124	163
西日野	1	125	163
近鉄日本橋	2	125	164
